Antibody Name,Target Protein,Performance  ,Vendor,Catalog no. ,Clone,Fluorophore,Research Resource Identifier,FILTER SET,Note,Link
Bax-488,Bax,***,BioLegend,633603,2D2,Alexa Fluor 488,AB_2562171,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-bax-antibody-8595
CD11b-488,CD11b,***,Abcam,AB204271,EPR1344,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/cd11b-antibody-epr1344-alexa-fluor-488-ab204271.html
CD4-488,CD4,***,R&D Systems,FAB8165G,Polyclonal,Alexa Fluor 488,,488/FITC,,https://www.rndsystems.com/products/human-cd4-alexa-fluor-488-conjugated-antibody_fab8165g
CD8a-488,CD8,***,eBioscience,53-0008-80,AMC908,Alexa Fluor 488,AB_2574412,488/FITC,,https://www.thermofisher.com/antibody/product/CD8a-Antibody-clone-AMC908-Monoclonal/53-0008-80
cJUN-488,cJUN,***,Abcam,AB193780,E254,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/c-jun-antibody-e254-alexa-fluor-488-ab193780.html
CK18-488,Cytokeratin 18,***,eBioscience,53-9815-80,LDK18,Alexa Fluor 488,AB_2574480,488/FITC,,https://www.thermofisher.com/antibody/product/Cytokeratin-18-Antibody-clone-LDK18-Monoclonal/53-9815-80
CK8-FITC,Cytokeratin 8,***,eBioscience,11-9938-80,LP3K,FITC,AB_10548518,488/FITC,,https://www.thermofisher.com/antibody/product/Cytokeratin-8-Antibody-clone-LP3K-Monoclonal/11-9938-80
CycD1-488,CycD1,***,Abcam,AB190194,EPR2241,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/cyclin-d1-antibody-epr2241-alexa-fluor-488-ab190194.html
Ecad-488,E-Cadherin,***,CST,3199,24E10,Alexa Fluor 488,AB_10691457,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/e-cadherin-24e10-rabbit-mab-alexa-fluor-488-conjugate/3199?N=4294956287&Ntt=3199&fromPage=plp&_requestid=2089116
EGFR-488,EGFR,***,CST,5616,D38B1,Alexa Fluor 488,AB_10691853,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/egf-receptor-d38b1-xp-rabbit-mab-alexa-fluor-488-conjugate/5616
EpCAM-488,EpCAM,***,CST,5198,VU1D9,Alexa Fluor 488,AB_10692105,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/epcam-vu1d9-mouse-mab-alexa-fluor-488-conjugate/5198
HES1-488,HES1,***,Abcam,AB196328,EPR4226,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/hes1-antibody-epr4226-alexa-fluor-488-ab196328.html
Ki67-488,Ki67,***,CST,11882,D3B5,Alexa Fluor 488,AB_2687824,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/ki-67-d3b5-rabbit-mab-alexa-fluor-488-conjugate/11882
