Target Protein,Fluorophore,Performance (Human),Vendor,Catalog Number,Clone,RRID,Note
5'-HMC,,***,Active Motif,39769,,AB_10013602,
Alpha-actin-2,eFluor 660,***,Thermo Fisher Scientific (eBioscience),50-9760-82,1A4,AB_2574362,
Alpha-actin-2,eFluor 570,***,Thermo Fisher Scientific (eBioscience),41-9760-82,1A4,AB_2573631,
CD11b,Alexa Fluor 488,***,Thermo Fisher Scientific (eBioscience),53-0196-80,C67F154,AB_2637195,
CD14,Alexa Fluor 647,***,Abcam,ab196169,EPR3653,,Discontinued
CD163,Alexa Fluor 488,***,Abcam,ab218293,EPR14643-36,AB_2889155,
CD19,Alexa Fluor 488,***,Abcam,ab196468,EPR5906,AB_2889156,
CD20,eFluor 660,***,Thermo Fisher Scientific (eBioscience),50-0202-80,L26,AB_11151691,
CD31,Alexa Fluor 647,***,Abcam,ab218582,EPR3094,AB_2857973,
CD3d,Alexa Fluor 555,***,Abcam,ab208514,EP4426,AB_2728789,
CD4,Alexa Fluor 488,***,R&D Systems,FAB8165G,,AB_2728839,
CD45,Alexa Fluor 647,***,BioLegend,304020,HI30,AB_493034,
CD45RB,Alexa Fluor 488,***,Thermo Fisher Scientific,53-9458-80,PD7/26,AB_2574448,
CD45RO,Alexa Fluor 488,***,BioLegend,304212,UCHL1,AB_528823,
CD45RO,,***,Dako,M0742,UCHL1,AB_2237910,
CD68,phycoerythrin,***,Cell Signaling Technology,79594,D4B9C,AB_2799935,
CD8a,eFluor 660,***,Thermo Fisher Scientific (eBioscience),50-0008-82,AMC908,AB_2574149,
Cytokeratin (pan),eFluor 570,***,Thermo Fisher Scientific (eBioscience),41-9003-82,AE1/AE3,AB_11218704,
Cytokeratin (pan),Alexa Fluor 488,***,Cell Signaling Technology,4523S,C11,AB_836889,
E-cadherin,Alexa Fluor 555,***,Cell Signaling Technology,4295,24E10,AB_2728822,Discontinued
E-cadherin,Alexa Fluor 488,***,Cell Signaling Technology,3199,24E10,AB_10691457,
ER alpha,,***,Abcam,ab16660,SP1,AB_443420,
FOXA2,eFluor 660,***,Thermo Fisher Scientific (eBioscience),50-4778-82,3C10,AB_2574221,
FOXP3,eFluor 570,***,Thermo Fisher Scientific (eBioscience),41-4777-82,236A/E7,AB_2573609,
GFAP,eFluor 570,***,Thermo Fisher Scientific,41-9892-80,GA5,AB_2573655,
Granzyme B,,***,Dako,M7235,GrB-7,AB_2114697,
IBA1,Alexa Fluor 488,***,Abcam,ab195031,EPR6136(2),AB_2889157,
MART1,,***,BioLegend,917901,M2-7C10,AB_2565202,
PD-1,Alexa Fluor 647,***,Abcam,ab201825,EPR4877(2),AB_2728811,
PD-L1,Alexa Fluor 647,***,Cell Signaling Technology,15005,E1L3N,AB_2728832,
PD-L1,,***,Cell Signaling Technology,13684,E1L3N,AB_2687655,
14-3-3 (pan),,**,Santa Cruz Biotechnology,sc-629-G,K-19,AB_630820,Discontinued
53BP1,,**,Millipore Sigma,MAB3802,BP13,AB_2206767,
53BP1,,**,Bethyl Laboratories Inc.,A303-906A,,AB_2620256,
ACO2,Alexa Fluor 647,**,Abcam,ab198050,6F12BD9,AB_2857971,
"Actin, cytoplasmic 1",Alexa Fluor 555,**,Cell Signaling Technology,8046S,13E5,AB_11179208,
Akt-1 (pan),Alexa Fluor 647,**,Cell Signaling Technology,5186S,C67E7,AB_10695877,
ALK,phycoerythrin,**,Cell Signaling Technology,8868,D5F3,AB_11179078,
Alpha-actin-2,Alexa Fluor 555,**,Abcam,ab202509,EPR5368,AB_2868435,
AR,Alexa Fluor 647,**,Abcam,ab194195,EPR1535(2),AB_2868419,
AR,,**,Thermo Fisher Scientific,MA5-13426,AR 441,AB_11000751,
