channel,type,frequency
CD45,Regulatory T,0.481137167
CD45,Helper T,0.575990884
CD45,CD45+ Immune,0.391833188
CD45,CD45+ Immune ,0.313795181
CD45,B Cell,0.432294413
CD45,Cytotoxic T,0.487082799
CD45,PD1+ Cytotoxic T,0.552112775
CD3D,Regulatory T,0.543825569
CD3D,Helper T,0.464552182
CD3D,CD45+ Immune,-0.066525449
CD3D,CD45+ Immune ,-0.175843118
CD3D,B Cell,-0.083761567
CD3D,Cytotoxic T,0.328385814
CD3D,PD1+ Cytotoxic T,0.602209315
CD8A,Regulatory T,-0.218202108
CD8A,Helper T,-0.156758984
CD8A,CD45+ Immune,-0.23375163
CD8A,CD45+ Immune ,-0.32975614
CD8A,B Cell,-0.219233955
CD8A,Cytotoxic T,0.550031654
CD8A,PD1+ Cytotoxic T,0.748796187
CD4,Regulatory T,0.58679897
CD4,Helper T,0.624123437
CD4,CD45+ Immune,0.322133424
CD4,CD45+ Immune ,0.028459259
CD4,B Cell,0.010407273
CD4,Cytotoxic T,-0.056985719
CD4,PD1+ Cytotoxic T,-0.044021289
CD20,Regulatory T,-0.141823949
CD20,Helper T,0.075373525
CD20,CD45+ Immune,-0.180668848
CD20,CD45+ Immune ,-0.27176812
CD20,B Cell,0.723011678
CD20,Cytotoxic T,-0.150951208
CD20,PD1+ Cytotoxic T,-0.171199794
PD1,Regulatory T,0.005463646
PD1,Helper T,0.044881029
PD1,CD45+ Immune,0.025501367
PD1,CD45+ Immune ,-0.264837181
PD1,B Cell,-0.160748862
PD1,Cytotoxic T,-0.049405275
PD1,PD1+ Cytotoxic T,0.481874787
FOXP3,Regulatory T,0.984325206
FOXP3,Helper T,-0.346527874
FOXP3,CD45+ Immune,-0.393273359
FOXP3,CD45+ Immune ,-0.413970113
FOXP3,B Cell,-0.424958412
FOXP3,Cytotoxic T,-0.408386398
FOXP3,PD1+ Cytotoxic T,-0.354033939
