Cell_ID,clust_ID,X_position,Y_position,CD45,e-Cadherin
702592,2,9593,19294,-566,234
819523,2,11883,23106,-527,811
810668,2,8962,22264,-815,447
712819,2,12242,18871,-461,667
704859,3,10319,19487,-1027,-856
707775,3,10916,16889,-241,-901
712053,2,12047,16619,-617,282
813007,2,9763,21590,-12,547
706698,1,10700,18833,217,-829
812793,2,9689,20178,-627,732
701013,3,8671,17603,-506,-842
708582,2,11103,16580,-884,469
700859,2,8584,19709,-125,693
814986,2,10328,22278,-1395,157
702119,3,9259,18963,-430,-901
700777,3,8535,17271,-357,-756
820911,2,12470,20349,-840,560
697909,3,3329,18424,-8,-676
814501,2,10187,21901,-1271,516
818396,3,11403,21377,-1201,-342
818176,2,11332,22990,-785,376
713203,2,12342,17610,-38,620
814172,4,10098,23291,-1004,-309
704346,3,10197,19627,-323,-934
820241,3,12172,21007,-393,-1354
706261,2,10620,18536,-827,675
815318,2,10419,20308,-967,732
809835,3,8553,22434,-393,-745
815113,2,10362,23670,-77,476
708153,2,10999,19025,-878,812
709906,3,11446,16920,-982,-21
809407,3,7886,20891,-77,-791
706966,2,10748,16318,-2192,630
817196,2,11019,23076,-762,392
819380,2,11826,22744,-1004,461
820779,2,12428,21806,-361,519
820145,2,12121,23493,-489,729
810765,2,9004,21756,-762,236
818079,2,11296,21417,-506,565
709618,2,11369,18144,-1163,356
700105,4,8216,19914,-485,-40
817815,2,11214,23026,-702,588
712596,2,12188,16386,-871,407
815845,3,10565,22833,-446,-1541
816957,3,10929,21810,-52,-81
817950,3,11254,21197,-718,-842
700850,2,8586,18992,-64,105
699043,3,5569,18928,-313,-735
819457,2,11855,20453,-423,733
815321,2,10423,22414,-953,500
810434,2,8867,21365,-235,172
812763,2,9683,20783,-2192,650
705471,2,10449,17910,-865,469
816150,2,10663,21236,-821,454
819841,2,12009,21985,-194,798
698993,3,5196,17829,-87,-634
699725,3,7670,18934,-1012,-856
706594,2,10684,16109,-1201,156
699902,1,8082,17546,296,-342
812541,2,9622,21931,-865,520
809491,2,8111,20158,-10,554
817270,2,11043,21380,-1154,266
711529,2,11910,17759,-891,519
709413,3,11319,17841,-540,-1079
699273,3,6916,16573,-241,-779
699540,3,7340,19411,-191,-735
813205,2,9824,22809,-1250,626
816088,2,10638,22674,-584,435
818215,2,11347,22173,-1586,610
809770,4,8509,20541,-1127,-581
812004,1,9444,23212,136,-642
699251,3,6769,18061,-651,-791
700537,2,8396,17897,-33,163
815145,2,10367,21751,-898,596
816606,2,10795,23196,-1084,276
711063,3,11766,18832,-265,-686
706528,1,10671,19312,608,-1104
699528,1,7328,18743,155,-553
699098,3,5824,17511,-361,-756
818494,2,11443,20750,-1556,449
809772,2,8515,20587,-833,694
710035,2,11483,17242,-1127,518
709655,2,11384,16496,-918,553
815651,2,10513,20105,-1292,380
700762,4,8530,19463,-1271,-77
810779,2,9010,22267,-1084,334
817255,2,11036,21510,-1445,713
815583,2,10491,21967,-911,456
702946,3,9777,19882,-287,-1469
710666,2,11657,18619,-768,605
813949,2,10027,23243,-821,636
817626,2,11151,20879,-953,835
816134,3,10650,22568,-333,-1630
820428,2,12282,21078,-333,499
700234,1,8267,17177,587,-434
816149,2,10655,21152,-1527,456
