channel,type,frequency
Ki67,1,1.0
Ki67,2,0.511231603
Ki67,3,-0.125173853
Ki67,4,-0.172114047
Ki67,5,-0.128998609
Ki67,6,-0.218706537
Ki67,7,-0.330667594
Ki67,8,-0.400556328
Ki67,9,-0.541376912
Ki67,10,-0.354659249
Ki67,11,-0.455493741
Ki67,12,-0.245479833
MCM2,1,0.48721921
MCM2,2,0.113865221
MCM2,3,0.274206042
MCM2,4,0.273431448
MCM2,5,0.53137103
MCM2,6,0.075135554
MCM2,7,-0.057719054
MCM2,8,-0.022600834
MCM2,9,-0.189151599
MCM2,10,-0.008692629
MCM2,11,-0.077885953
MCM2,12,0.210689388
PCNA,1,0.773818745
PCNA,2,0.52672347
PCNA,3,0.205267235
PCNA,4,0.313710302
PCNA,5,0.42912471
PCNA,6,-0.008692629
PCNA,7,0.091402014
PCNA,8,-0.021905424
PCNA,9,-0.193324061
PCNA,10,-0.032336579
PCNA,11,-0.173504868
PCNA,12,0.326878389
p21,1,-0.614252517
p21,2,-1.051897754
p21,3,-0.555383424
p21,4,-0.657629744
p21,5,0.063516654
p21,6,-0.16689847
p21,7,-0.396731572
p21,8,-0.586926287
p21,9,-0.496175243
p21,10,-0.22566064
p21,11,-0.472183588
p21,12,0.819519752
p27,1,-0.20340751
p27,2,-0.405076495
p27,3,-1.0
p27,4,0.105344694
p27,5,-0.017385257
p27,6,-0.206884562
p27,7,-0.029207232
p27,8,-0.059805285
p27,9,-0.247913769
p27,10,-0.164464534
p27,11,-1.0
p27,12,-0.078233658
MPI,1,1.0
MPI,2,1.0
MPI,3,1.0
MPI,4,1.0
MPI,5,1.0
MPI,6,1.0
MPI,7,1.0
MPI,8,0.0
MPI,9,0.0
MPI,10,0.0
MPI,11,0.0
MPI,12,-1.0
